,File_name,ambiguity score,Length,Amb_Length
46,Franco Kernel Manager foralldevices&kernels,90,3,1
71,S A X Video Player Allinone Hd Formatpro2021,90,10,1
15,Video Editor& Video Maker In Shot,77,11,4
16,Simple Gallery Pro: Video& Photo Manager& Editor,4,11,3
40,Internet Speed Meter,31,11,4
64,Torque Pro( O B D2& Car),45,14,3
1,Tasker,63,15,6
12,Meesho Resell Work From Home Earn Money Online,52,15,16
62,Crypto Tab Browser Pro—mineona P R Olevel,61,15,8
17,Game Booster V I P Free Fire G F X Lag Fix,38,17,4
50,Vido: Lyrical Video Status Maker,64,17,9
49,Free V P N Tomato| Fastest Free Hotspot V P N Proxy,90,18,1
66,V P N Pro Freefor Lifetime,51,18,6
13,P G T+🔧: Pro G F X& Optimizer(withadvancesetting),36,19,9
0,Gamers G L Tool Prowith Game Turbo& Ping Booster,36,20,9
23,F L Studio Mobile,90,20,2
34,Disk Digger Profilerecovery,90,21,2
39,1 D M+[formerly I D M+]: Video Torrent Downloader,100,24,7
53,V P N Master Free& Fast& Secure V P N Proxy,58,26,14
54,Navigation Pro: Google Maps Navion Samsung Watch,58,27,14
4,Wynk Music New M P3 Hindi Tamil Song& Podcast App,70,28,25
11,Internet Optimizer Pro| No Ads,71,28,14
2,Panda Gamepad Pro( B E T A),88,29,16
63,Share Karo Share& File Transfer App Shareit,0,29,14
61,P L A Yit A New All in One Video Player,58,31,13
70,Airtel Thanks Recharge Bill Pay Bank Live T V,71,32,30
29,Fact Techz Ultimate Brain Booster Binaural Beats,58,34,14
33,S D Maid Pro Unlocker,81,34,10
74,Rhythmwith Tabla& Tanpura P R E M I U M,58,34,14
59,Crayon Icon Pack,58,36,14
47,K W G T Kustom Widget Pro Key,58,37,14
24,Fluid Walls 4 K Liquid Style Wallpapers,51,40,36
73,R A M& Game Boosterby Augustro(67% O F F),62,40,19
9,Jio T V– News Movies Entertainment L I V E T V,77,41,36
6,M X Taka Tak Short Video App| Madein Indiafor You,68,43,21
14,Snacky Takatak,68,43,21
30,Public Indian Local Videos,46,44,22
43,Droid Cam X,61,47,9
69,Poweramp Full Version Unlocker,61,48,45
72,Kine Master Video Editor Video Maker,28,50,25
57,My Jio: For Everything Jio,73,52,33
3,Gaana Music Hindi Song Free Tamil Telugu M P3 App,55,53,48
51,Game Booster4x Faster Pro G F X Tool& Lag Fix,63,55,27
26,Flipkart Online Shopping App,65,63,36
7,M X Player Pro,58,66,54
25,M X Player: Video Player Movies Songs& Games App,58,66,54
28,Z E E5: Movies T V Shows Web Series,45,74,39
42,M V Bitmaster M Vmastervideostatusmaker M V Bit,70,74,26
45,Josh Snackon Short Videoswith Top Indian App,68,75,56
36,Dailyhunt 100% Indian Appfor News& Videos,68,81,56
60,Quick Heal Total Security,64,84,20
19,Touch Retouch,52,85,39
10,A J I O Online Shopping Handpicked Curated Fashion,77,88,46
44,Snack Video Maker Appwith Song Mast,53,95,37
58,Moj Snackon Indian Short Videos| Madein India,55,98,45
48,Instagram,76,108,63
67,Instagram Lite,76,108,63
22,Phone Pe– U P I Recharges Investments& Insurance,61,113,54
68,Share Chat Madein India,60,113,49
21,Biugo videomaker photovideomaker videoeditor,57,115,72
27,Noizz videoeditor videomakerphotoswithsong,57,115,72
18,Facebook,76,119,63
32,Facebook Lite,76,119,63
31,Telegram,69,125,64
20,Google Pay asimpleandsecurepaymentapp,64,126,81
5,Truecaller: Caller I D Spam Blocking& Chat,61,136,108
56,Hotstar,68,137,62
8,Amazon Shopping U P I Money Transfer Bill Payment,71,140,48
75,Snapchat,86,142,117
52,Jio Saavn Music& Radio– Jio Tunes Podcasts Songs,74,153,110
41,Share Me India'sbestfiletransferapp,48,156,79
37,Amazon Prime Video,71,171,54
38,Whats App Business,76,172,55
35,Costco,73,175,90
65,B Y J U' S– The Learning App,57,183,77
55,Paytm U P I Money Transfer Recharge Bill Payment,54,200,125
