,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may', 'may']","['The Platform is offered by Saavn Media Pvt. Ltd, who is the data controller (""JioSaavn"", ""we"", ""us"", ""our"").This Privacy Policy explains what information may be collected through the Platform, how such information may be used and/or shared with others, how we safeguard it and how you may access and control its use in connection with our marketing communications and business activities.']"
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GN,3.281,"['general', 'certain']","['you are probably aware, a new European law called the General Data Protection Regulation (""GDPR"") gives certain rights to European users in relation to their personal data.']"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],"['If you are a European user of the Platform, you can better understand these rights here.']"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['certain', 'may']","['you use the Platform, for example to register to create an account, update your information, sign up for a subscription, use certain features, access or download content, purchase items or enter into promotions, refer others to the Platform, interact with us via third party application or social media sites, request customer support or otherwise communicate with us, we or our service providers or business partners may collect information that relates to you, including personal information, such as your name, e-mail address, telephone number, mobile phone number, credit card or debit card details, geographic location, mailing address, date of birth, gender, demographic information, photos, videos, and social media account details.']"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may']","['Click here to learn more about the legal reasons (Contract and Legitimate Interest) why JioSaavn may collect this information under the GDPR.Information Collected AutomaticallyWhenever you visit or interact with the Platform, JioSaavn, as well as any third-party advertisers and/or service providers, may use a variety of technologies that automatically or passively collect information about how the Platform is accessed and used (""Usage Information"").']"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Usage Information may include information collected in the following ways:Log Files: Information is logged about your use of the Platforms, including your browser type, operating system, activations, content you purchase, access, download or burn, access and listening times, the page served and the preceding page views.']"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N,2.71,['many'],"['This statistical usage data provides us with information about the use of the Platform, such as how many visitors visit a specific page on the Platform, how long they stay on that page, and which hyperlinks, if any, they ""click"" on.']"
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may', 'may']","['Click here to learn more about the legal reasons (Consent, Contract, and Legitimate Interest) why JioSaavn may collect this information under the GDPR.Location Information: We may collect information about the location of your device when you access or use the Platform; or if you choose to turn on your Bluetooth, Wi-Fi or other geolocation functionality when you use the App, subject to your consent, the App may collect and use your geolocation information.']"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['may', 'certain']",['We may share your location with certain third-parties for analytics and advertising purposes.']
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],"['If you initially consent to our collection of location information, you can subsequently stop the collection of this information at any time by going to the setting feature on your Device and changing your preferences.']"
