,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['Collection and Use of Information1.1 Personal InformationWe may collect the following personal information about you:Your Profile Information.']
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['may', 'certain', 'may']","['You may choose to share certain data with us from third parties or through your use of the Platform, we may collect such third party data automatically.']"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['certain', 'may']","['We will likewise share certain information with your social network such as your app ID, access token and the referring URL.1.2 Non-personal InformationWe may collect the following non-personal information:User Content and Behavioural Information.']"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,2.71,['certain'],['We automatically collect certain information from you when you use the Platform including when you are using the App without an account.']
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['i.e. the content you have viewed on the Platform), model of your device, the device system, network type, and operating system.1.3 Examples of how we may use your informationTo better understand customer behavior, customer interest, and other trends among our users and improve our products, services, and advertising.provide you with user support;personalise']"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,2.71,['most'],"['the content you receive and provide you with tailored content that will be of interest to you;enable you to share User Content and interact with other users;to help us detect and combat abuse, harmful activity, fraud, spam, and illegal activity on the Platform;ensure your safety and security including reviewing user content.ensure content is presented in the most effective manner for you and your device;improve, promote and develop the Platform and promote popular topics, hashtags and campaigns on the Platform;carry out data analysis and test the Platform to ensure its stability and security;allow you to participate in interactive features of the Platform;to ensure that you are old enough to use our Platform (as required by law);provide you with location-based services (where those services are available in your jurisdiction);enforce our terms, conditions and policies;administer the Platform including troubleshooting.2.']"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Information Sharing and Disclosure2.1 Third parties we may share your data with:Business Partners: If you choose to register to use the Platform using your social network account details (e.g., Facebook, Twitter, Instagram, Google), you will provide us or allow your social network to provide us with your username and public profile.']"
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,2.71,['certain'],"['We will likewise share certain information with the relevant social network such as your app ID, access token and the referring URL.']"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Our Corporate Group: We may also share your information with other members, subsidiaries, or affiliates of our corporate group, to provide the Platform including improving and optimising the Platform, preventing illegal use and supporting users.']"
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1.783,['necessary'],"['Law Enforcement: We will share your information with law enforcement agencies, public authorities or other organisations if legally required to do so, or if such use is reasonably necessary.          ']"
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MN,2.569,"['anyone', 'may']","['Public Profiles: Please note that if your profile is public, your content will be visible to anyone on the Platform and may also be accessed or shared by your friends and followers as well as third parties such as search engines, content aggregators and news sites.          ']"
