,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['This Privacy Policy (“Privacy Policy”) sets out how we collect, process, use and may disclose your data when you use our mobile application called ‘Moj’ (“App”).']"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,2.71,['anyone'],['We will not use or share your information with anyone except as described in this Privacy Policy.\xa0']
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CMN,2.125,"['may', 'appropriate', 'certain']",['We may collect an indicative age range which tells us that you are of the appropriate age to access our Platform and certain features of our Platform (collectively “Log-in Data”).Content']
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may']","['Information we receive from other sources: . We may also be working closely with third parties (including, for example, business partners, sub-contractors in technical, analytics providers, search information providers) and may receive information about you from such sources.']"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['Such data may be shared internally and combined with the data collected on this Platform.(b)']
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,3.55,['general'],"['Log Data: ""Log Data""\xa0is information that we automatically collect when you use the Platform, whether through the use of cookies, web beacons, log files, scripts, including, but not limited to:\xa0· technical information, such as your mobile carrier-related information, configuration information made available by your web browser or other programs you use to access the Platform, your IP address and your device’s version and identification number;· information about what you have searched for and viewed while using the Platform, such as web search terms used, social media profiles visited, mini applications used, and details of other information and content accessed or requested by you while using the Platform;· general information about communications on the platform, such as the identity of a user that you have communicated with and the time, data and duration of your communications; and\xa0· metadata, which means information related to items you have made available through the Platform, such as the date, time or location that a shared photograph or video was taken or posted.(c)']"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['may', 'certain', 'could']","['For detailed information on the cookies we use and the purposes for which we use them, kindly see our cookie policy (d) Surveys: If you choose to participate in a survey, we may request you to provide certain Personal Information i.e. any information that could be used to identify you (“Personal Information”).']"
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['We may use a third-party service provider to conduct these surveys and this will be notified to you prior to the completion of the survey.(e)']
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,2.71,['certain'],"['You will disclose certain location information to us and to other Platform users when you access the Platform, as we derive location information from your IP address, device, or internet service for providing the Services or improving our platform such as to ensure that there are no multiple log-ins on your account.']"
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CM,1.864,"['may', 'from time to time', 'may']","['· For security, fraud-detection and account management;\xa0· To be used for enhanced content targeting;\xa0· To provide you with location-based services that you choose to use:\xa0§\xa0 mini applications that may be made available on the Platform from time to time, which may require such information based on the services that they provide (if you choose to disclose your location to any mini application);§\xa0 ']"
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CM,1.864,"['may', 'from time to time']",['Customer Support Information:\xa0Any information that you provide to our customer support team regarding any assistance or support that you may require for using our Platform from time to time.']
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['we may collect your Bluetooth signals, and information about nearby']"
