,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,2.71,['including but not limited to'],"['You hereby provide your unconditional consent or agreements to the PhonePe Entities (including but not limited to PhonePe Private Limited, PhonePe Technologies Private Limited , PhonePe Wealth Services Private Limited) as provided under the information technology act, 2000 and the rules and regulations made under therein for accessing any of the PhonePe platform.\n']"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['would'],"['Though every effort would be made to keep you aware of any changes to the Privacy Policy, you are kindly advised to review the policy periodically on the App to ensure that you are aware of the latest version.\n']"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,2.71,['including but not limited to'],"['""PhonePe Service"" shall include all services extended / to be extended by PhonePe and PhonePe entity as a group including but not limited to PPI, PA, PG, BBPOU, AA, Insurance, MF, Gold sale & purchase, Bill payment & recharge, switch including others.\n']"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,2.71,['certain'],"['We offer certain features that are only available through the use of a ""cookie"". ""']"
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1.783,['from time to time'],['Our Privacy Policy is subject to change at any time without notice and the same shall be updated and available within PhonePe App and on its website at www.phonepe.com from time to time.']
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['would'],"['Though every effort would be made to keep you informed of the changes, if any, to the policy, you are kindly advised to review the policy periodically.']"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,MN,2.569,"['most', 'likely']","['This allows us to provide services and features that most likely meet your needs, and to customize our Website/Application to make your experience safer and easier.']"
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1.783,['necessary'],"['More importantly, while doing so we collect personal information from you that we consider necessary for achieving this purpose.\n']"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Provided that, any information that is freely available or accessible in public domain or furnished under the Right to Information Act, 2005 or any other law for the time being in force shall not be regarded as Sensitive Personal Information and may be regarded as Personal Information.\n']"
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['We and our Service Providers may collect non-personal data while you access PhonePe platforms via url, smartphones or any other mobile devices.']"
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,MN,2.569,"['may', 'various']",['Information may be collected in various ways and formats during the course of your visit or access to PhonePe Platforms by way of -\nVisiting PhonePe platforms.\n']
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['Registering on PhonePe platforms as an “user” or “merchant” or any other relationship that may be governed by terms and conditions listed on PhonePe platforms.\n']
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"[""Otherwise dealing with any of the “PhonePe Entities”\nWe and our Service Providers or Business Partners may also collect information made publicly available through other third-party platforms, through online or offline databases that are otherwise legitimately obtained and are subject to the third party's terms of use and/or privacy statement.\n""]"
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['may', 'certain']",['We may automatically track certain information about you based upon your behaviour on our App.']
