,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,2.71,['some'],"['When you use ShareKaro, we will collect some basic\n            information\n            about you, which includes:User-provided Information.']"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,2.71,['certain'],['We automatically collect certain information from you\n            when you use\n            ShareKaro.']
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1.783,['necessary'],['We collect information about Wi-Fi when you use ShareKaro to receive or send files\n            as such information is\n            necessary to enable this function.2.']
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,3.55,['generally'],['USE OF INFORMATIONWe generally use the information we collect about you to:']
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1.783,['necessary'],"['files;fulfill requests for services, product functionality, support and information for internal operations,\n                including\n                troubleshooting and testing, etc.;communicate with you if necessary, including to notify you about changes and updates in our services\n                ']"
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CM,1.864,"['may', 'necessary']","['We want you to\n            understand that we\n            may share your information with law enforcement agencies or public authorities if legally required to do so,\n            or if such\n            use is reasonably necessary to:comply with legal obligations;detect, prevent or otherwise address security, fraud or technical issues; orprotect the rights, property or safety of us, our users, a third party or the public as required or\n                permitted by law.']"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['We may share your information for other purposes pursuant to your consent or with your further direction.4.']
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['certain', 'may']","['Policy for ChildrenWe do not knowingly collect or use any personal information from children (we define ""children"" as\n                minors younger than\n                13, in certain cases, this age may be higher due to local regulatory requirements).']"
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1.783,['appropriate'],"['Data SecurityWe seek to protect your information from unauthorized access, use and disclosure using appropriate physical,\n            technical,\n            organizational, and administrative security measures.']"
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1.783,['necessary'],['Data RetentionWe retain your information for as long as it is necessary to provide you with the services.']
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CN,1.619,"['some', 'necessary']","['In some cases, we retain your information for longer, if doing so is necessary to\n            comply with\n            our legal obligations, resolve disputes, or is otherwise permitted or required by applicable laws and\n            ']"
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,2.71,['certain'],"['You have the right to object to or restrict processing in certain\n            circumstances, such as where you believe the information is inaccurate or the processing activity is\n            unlawful.']"
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MN,2.569,"['some', 'may']","['Please note that in some circumstances, we may not be able to fully comply with your request, such as if it\n            is frivolous\n            or extremely impractical, if it jeopardizes the rights of others, or if it is not required by law, but in\n            those\n            circumstances, we will still respond to notify you of such a decision.\n        ']"
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],"['you have any questions about this Privacy Policy, you can contact us via glets724@gmail.com.']"
