,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['can', 'can']","['“Personal information” is any information that can be used by itself to uniquely identify, contact, or locate a person, or can be used with information available from other sources to uniquely identify an individual.\n']"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"[""Personal information collected and/or held by us may include but is not limited to your name, father's name, mother's name, spouse's name, date of birth, current and previous addresses, telephone number, mobile phone number, email address, occupation and information contained in the documents used as proof of identity and proof of address.\n""]"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Airtel and its group companies may collect, store, process and transfer your Personal Information well in accordance with the applicable laws and regulations for a variety of regulatory and business purposes.']"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['These may include, but are not limited to:\nVerify your identity;\n']"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may']","['Complete transactions effectively and bill for products and services;\nRespond to your request for service or assistance;\nPerform market analysis, market research, business and operational analysis;\nProvide, maintain and improve our products and services;\nAnticipate and resolve issues and concerns with our products and services;\nPromote and market products and services which we consider may be of interest to you and/or may benefit you; and\n']"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['This Privacy Policy describes the Personal Information which we may collect and provides our approach towards handling and usage of or dealing with the same in compliance with the applicable laws and regulations.\n']
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['We may collect your Personal Information when you use our services or websites or otherwise interact with us during the course of our relationship.']
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['The Personal Information may be collected by Airtel through the Customer Application Form (CAF) or through its authorized third parties.']
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may']","['We may also collect and hold information related to your utilization of our services which may include your call details, your browsing history on our website, location details and additional information provided by you while using our services.\n \n']"
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,MN,2.569,"['may', 'various']","['We may keep a log of the activities performed by you on our network and websites by using various internet techniques such as web cookies, web beacons, server log files, etc.']"
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,2.71,['various'],['for analytical purposes and for analysis of the amiability of various features on our site.']
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['This information may be used to provide you with a better experience at our portal along with evidentiary purposes.']
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CM,1.864,"['may', 'appropriate']","['At any time while you are browsing our site, if you do not wish to share browsing information, you may opt out of receiving the cookies from our site by making appropriate changes to your browser privacy settings.']"
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MN,2.569,"['may', 'some']","['As explained in the section “Collection of Personal Information” Airtel may utilize some or all available Personal Information for internal assessments, measures, operations and related activities or any other lawful purpose.\n \n']"
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['We may share your Personal Information for the purposes detailed in this Privacy Policy with our internal third parties, which are the other entities in our group of companies.\n \n']"
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['We may transfer your personal information or other information collected, stored, processed by us to any other entity or organization located in India or outside India only in to fulfil the terms of a contract we have with you or if you have consented (at the time of collection of information) to the same.']"
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['This may also include sharing of aggregated information with them in order for them to understand our environment and consequently, provide you with better services.']"
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MN,2.569,"['may', 'including but not limited to']","['Government Agencies: We may also share your Personal Information without your consent with Government agencies or other authorized law enforcement agencies (LEAs) mandated under law to obtain such information for the purpose of verification of identity or for prevention, detection, investigation including but not limited to cyber incidents, prosecution, and punishment of offences.\n \n']"
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['We may obtain your consent for sharing your Personal Information in several ways, such as in writing, online, through ""click-through"" agreements; orally, including through interactive voice response; or when your consent is part of the terms and conditions pursuant to which we provide you service.']"
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['could'],"['We, however assure you that Airtel does not disclose your Personal Information to unaffiliated third parties (parties outside Airtel corporate network and its Strategic and Business Partners) which could lead to invasion of your privacy.\n \n']"
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Airtel may employ, contract or include third parties (as defined in section 1:']"
