,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],"['This Privacy Policy explains what information of yours will be collected by us when you access the Site, Software, App and other Services (including through the websites and services of our partners), how the information will be used, and how you can control the collection, correction and deletion of such information.']"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,2.71,['anyone'],['We will not use or share your information with anyone except as described in this Privacy Policy.']
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['can', 'possible']","['For our Services: As long as quality of the Services can be guaranteed, we endeavour to collect your information as minimal as possible.']"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['When you register for an account or during the use of the Services, we may collect personally identifiable information about you, such as your full name, ID/passport number, picture, phone number, email address, IP address, device identifier, geological location, billing information, and so on, as well as non-personally identifiable information, such as type of network, operating system and its versions, mobile network operator, manufacturer of device, messages, images, VoIP data, audio-video streaming data, other content sent and other activities done by you under the Services, to enable the functions and features of the Services and comply with applicable laws.']"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['If you purchase a product or service from us, we and/or our third-party payment processors may also collect your payment information.']"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['We may send you service related emails, as well as promotional emails to the extent permissible under applicable laws.']"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['If you no longer wish to receive these emails, you may opt out of them by canceling your account.']"
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['These technologies may be used in analyzing trends, administering the Services, tracking your movements around the Sites, Software and App, and to gather demographic information about our user base as a whole.']"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],['Cookies are pieces of text records being stored in your browser or device that can be read upon future visits.']
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['We use cookies to remember users’ settings as well as for authentication and analytics, but we may expand our use of cookies to save additional data as new features are added to the Service.']"
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],['Users can control the use of cookies at each of their browser application.']
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may']","['If you choose to reject cookies, you may still use our Services, but the functions and features of our Services may not be working correctly.']"
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['We may use technologies such as web beacons and single-pixel GIF files to record log and usage data.']
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['We may also use third-party analytic tools such as Google Analytics, Google Tag Manager, Google AdWords (Conversion Tracking), Yahoo (Conversion Tracking), Quora (Conversion Tracking), and so on.']"
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CMN,2.125,"['some', 'may', 'depending']",['Some or all of these tools may be used to track information about your behavior under our Services depending on your region.']
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['You may give us permission to collect your information from services provided by third parties.']
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['For example, you may connect a social networking service (“SNS”) such as Facebook or Twitter to your account opened with us.']"
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Technologies such as cookies, beacons, tags, scripts and similar technologies are used by our partners, affiliates, analytics or service providers for the purpose of analyzing trends, administering the Services, tracking your movements around the Sites, Software and App, and to gather demographic information about our user base as a whole to enable us to customize the application according to your preference We may receive reports based on the use of these technologies by such companies on an individual as well as aggregated basis.\n']"
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],"[""With user's permission, the information of third-party apps can be accurately provided, allowing Biugo to use such information for analysis to provide better services.\n""]"
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],"['With your permission, we obtain facial data for the purpose of providing you with ""cartoon image"" photos which is a feature of Biugo, When using functions such as ""anime computer"", ""emoji avatar"" and ""polaroid animation"" in the ""cartoon image"" module, we generate cartoon images for you based on the photos provided by you, which we can only access upon you confirming your permission.']"
20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,3.55,['generally'],"['Generally, we use the information that we collect to operate and maintain our Services and to respond to your demands and concerns.']"
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['certain', 'may']","['If you provide information for a certain reason, we may use the information in connection with the reason for which it was provided.\n']"
