,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,2.71,['including but not limited to'],"['This Privacy Policy does not apply to the practices of third parties that Eterno does not own,\t\tcontrol, or manage including but not limited to any third-party websites, services, applications, or businesses (Third-Party Services).']"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['If You do not agree to any of the provisions of this Privacy Policy, You may not download, install\t\t']"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Eterno may revise, alter, add, amend or modify this Privacy Policy at any time by updating this page.']"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['This Privacy Policy sets out what information Eterno collects from You, how that information\t\tmay be used, how the information will be protected, and what choices You have as a user.']"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,MN,2.569,"['may', 'may', 'various']",['What information may be collected by EternoEterno may collect information from Users at various stages from registration on the Platform by\t\tthe Users to submission of content by the Users or while the User is accessing/using Services.']
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['The information collected may be personally identifiable information or other information.']
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['You may choose to not provide the information if You do not wish to use the Platform and/or Services.2.1.']
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Personally Identifiable InformationEterno may collect personal information that identifies You in a variety of ways, including, but not limited to the information submitted during download, installation and/or use/access of the Platform or in connection with access/use of Services or features offered through the Platform or in connection with the Platform.']"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['likely'],"['""Personal information"" of a person means any information which, either directly or indirectly, in combination with other information available or likely to be available is capable of identifying such person.']"
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MN,2.569,"['may', 'including but not limited to']","['Personally identifiable Information collected may include Your name, image, mailing address, email address, phone number and demographic information such as gender, nationality, postcode and other personal information including but not limited to date, time or place of birth, location, interests, preferences, likes and dislikes, and usage information.']"
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,N,2.71,"['certain', 'including but not limited to']","['Eterno collects Personally Identifiable Information only if You voluntarily submit such information to us or provide access to such information by connecting to social networking sites through the Platform or Services (for example when You use the facilities or Services connected with the Platform or engage in certain Platform related activities including but not limited to becoming a member or signing up for an account or linking an account through a social network including, but not limited to Facebook, Twitter, Google Plus, and/or LinkedIn).']"
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may']","['Eterno may also collect personally identifiable information You may provide when corresponding with us by e-mail or phone, or to access/use any other interactive/non-interactive features of the Platform and/or Services.']"
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['can', 'may', 'certain']","['You can always refuse to supply personally identifiable information, except that it may prevent You from using the Platform, and/or certain features of the Platform and Services.2.2.']"
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Non-personal InformationEterno may collect Your non-personal information whenever You use, access or interact with the Platform and/or use Services.']"
