,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,2.71,['including but not limited to'],"['Privacy PolicyThis Privacy Policy  explains our policy regarding the collection, use, disclosure and transfer of  your information by Gamma Gaana Ltd. and/or its subsidiary(ies) and/or  affiliate(s) (collectively referred to as the Company), which operates the website (“Site”), applications and other services including but not limited to delivery of music and related content via the site¸ any mobile or internet connected device or otherwise (collectively the ""Gaana Service"").']"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['As we update, improve and expand the Gaana Services, this policy may change, so please refer back to it periodically.']"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,MN,2.569,"['certain', 'certain', 'may']","['To avail certain services on the Gaana  Services, users are required to provide certain personally identifiable  information for the registration process which may include:- a)']"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,2.71,['most'],['the users enables us to improve the Gaana Services and provide you the most  user-friendly experience.']
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,MN,2.569,"['some', 'certain', 'may']","['In some cases/provision of certain service(s) or  utility(ies), we may require your contact address as well.  ']"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['All required information is service  dependent and the Company may use the above said user Information to, maintain,  protect, and improve the Gaana Services (including advertising on the Site) and  for developing new services.']"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['We may also use your email address or other  personally identifiable information to send commercial or marketing messages  without your consent [with an option to subscribe / unsubscribe (where  feasible)].']
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['We may, however, use your email address without further consent for  non-marketing or administrative purposes (such as notifying you of major  changes, for customer service purposes, billing, etc.).  ']"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['may', 'certain']","['In case you choose to decline to  submit personally identifiable information on the Site, we may not be able to  provide certain services on the Site to you.']"
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CN,1.619,"['certain', 'necessary']","['In any case, we  will not be liable and or responsible for the denial of certain services to you  for lack of you providing the necessary personal information.  ']"
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CM,1.864,"['from time to time', 'may']","['When you register with the Gaana  Services, we contact you from time to time about updation of your personal  information to provide the users such features that we believe may benefit /  interest you.']"
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['NAVIGATIONCookiesTo improve the responsiveness of the  Site for our users, we may use ""cookies"", or similar electronic tools  to collect information to assign each visitor a unique, random number as a User  Identification (User ID) to understand the user\'s individual interests using  the identified computer.']"
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],['The only personal information a cookie can  contain is information you supply.']
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],['A cookie cannot read data off your hard  drive.']
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Our advertisers may also assign their own cookies to your browser (if  you click on their ads), a process that we do not control.']"
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['We may also collect log information from your device, including your location, IP address, your device’s name, device’s serial number or unique identification number (']"
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Clear GIFsWe may use ""clear GIFs""  (Web Beacons) to track the online usage patterns of our users in a anonymous  manner, without personally identifying the user.']"
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['We may also use clear GIFs in  HTML-based emails sent to our users to track which emails are opened by  recipients.']
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Information from  other Sources:We may receive information about you from other sources, add it to our account information and treat it in accordance with this policy.']"
