,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],"['This Privacy Policy covers the information 21st Century Fox Star US LLC (""Star US"") ( ""We"" or ""Us"") collects from the user(s) (""User(s)"" or ""You"") of www.hotstar.com/us (""Website"") and any associated mobile sites, applications (""Apps"") and/or the Services provided by Us on the Website (as defined in the Terms of Use of the Website – ""Terms of Use""), which Services can be used or accessed on the Site (as defined in the Terms of Use).\n']"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],['You can choose to have the Personal Information provided by You deleted.\n']
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may', 'may']",['The Personal Information and Other Information which You may provide to Us or Our service providers or which We may collect may include the following:\n']
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Your Registration Details, Which May Include Your Name, Email Address, Mobile/Contact Details, Age, Gender, Password, Location, Occupation Provided By You.\n']"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['You May']
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,2.71,['some'],"['In Some Cases Provide Us With Your Debit Or Credit Card Details Or Other Bank Account Details,']"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['If You Access Or Engage With The Site Or Services Associated With The Site Through A Social Media Service, We May Collect Your User ID Or User Name, Any Information']"
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,MN,2.569,"['various', 'various', 'various', 'may']","['Our primary purposes in collecting information, including Personal Information, from and about You is to allow You to use the Site and various features and Services on or in relation to the Site or any Sites contacted by You for any Services provided by the Platform or its affiliates or its various service providers or Platform business partners and advertisers; to communicate with You and request your feedback in relation to Your use the Site or Services using any contact information that you have provided, including to provide transactional emails; to record Your information and details as permitted and required under applicable laws, statutory direction or judiciary orders; to serve various promotion materials and advertising materials to You; to personalize your experience on the Website/App, to the extent permitted by law; and such other uses as provided in the Terms of Use and this Privacy Policy or with Your consent, which may be express or implied.\n']"
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CM,1.864,"['may', 'from time to time']","['To the extent permitted by law, We may also use Personal Information for content recommendations or to provide You with information, direct marketing (including by email, SMS or otherwise), push notifications, online and offline advertising and other materials regarding products, services and other offers from time to time in connection with the Platform or its parent, subsidiary and affiliated companies (""Platform Entities"") and its joint ventures.\n']"
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['Platform and our service providers may use the information we collect from and about you as described in this Privacy Policy to deliver relevant ads to you when you use the Services or another service (on any of your devices).']
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['As noted above, third-party advertising networks and advertisers may use cookies and similar technologies to collect and track information such as demographic information, inferred interests, aggregated information, and information about the different devices you use and your activity on such devices, to assist them in delivering advertising that is more relevant to your interests.']"
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['The information may also be used to deliver more relevant advertising to you across marketing channels, including email.']"
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['would'],"['If you would like to opt-out of such ad networks’ and services’ advertising practices on the particular device on which you are accessing this policy, go to http://optout.aboutads.info/ to opt-out in desktop and mobile web browsers.']"
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['You may download the AppChoices app at www.aboutads.info/appchoices to opt-out in mobile apps.\n']
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['We may also collect Other Information or Personal Information to track User behavior and preferences for internal analytics of all Users of the Website.']
15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMN,3.506,"['may', 'certain', 'general']","[""We may also use your information: (i) to evaluate your eligibility for certain types of offers, products or services; (ii) to perform analytics and conduct customer research, including general market research or surveying our customers' needs and opinions on specific issues, generating sales and traffic patterns, and to analyze advertising effectiveness, both on an anonymous basis (e.g., by aggregating data) or on an individual basis (if legally permissible).""]"
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['certain', 'may']",['This Personal Information or Other Information is collected through the use of server log files and tracking technologies to collect and analyze certain types of technical information and may include cookies and web beacons.']
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['If You do not consent to the use of cookies and/or device session tracking by Us, You may at any time adjust Your browser settings and/or delete and/or disable the cookies.']"
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['certain', 'may']","['However, please note that should You choose to delete/ disable the use of cookies or other tracking technologies on Your computer, certain sections of the Website and/or Services may not be available to You.\n']"
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GM,4.045,"['may', 'among other things']","['We may use Adobe Flash technology (including Flash Local Shared Objects or ""Flash LSOs"") and other technologies to, among other things, collect and store information about Your use of the Website.']"
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],"['If You do not want Flash LSOs stored on your computer, You can adjust the settings of Your Flash player to block Flash LSO storage using the tools contained in the Website Storage Settings Panel.']"
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['can', 'may']","['You can also control Flash LSOs by going to the Global Storage Settings Panel and following the instructions (which may include instructions that explain, for example, how to delete existing Flash LSOs (referred to as ""information"" on the Macromedia site), how to prevent Flash LSOs from being placed on Your computer without Your being asked, and (for Flash Player 8 and later) how to block Flash LSOs that are not being delivered by the operator of the page']"
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MN,2.569,"['may', 'some']","['Please note that setting the Flash Player to restrict or limit acceptance of Flash LSOs may reduce or impede the functionality of some Flash applications, including those used in connection with the Website.\n']"
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['We may combine Your Personal Information and Other Information and information collected from tracking technologies and aggregate it with information collected from other Users using Our Website to attempt to provide You with the Services and a better experience on the Website.\n']
