,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['By entering the Agreement, MvBit does not endorse any content produced by any user or other licensor via MvBit, or any opinion, recommendation, or advice expressed therein, and MvBit expressly disclaims any and all liability in connection with such content.2.2 For you to enjoy any and all functions provided by the app MvBit(hereinafter referred to as ""the Service"") for free, including free access to and use of the Service, you acknowledge and agree that MvBit may generate revenues, increase goodwill or otherwise increase the value of NeoTasks from your use of the Service.2.3']"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['would'],"[""MvBit makes no representation that MvBit 's user-generated contents or practices would be legal in every jurisdiction.""]"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,2.71,['including but not limited to'],"['You are solely responsible for any negative outcome derived from your violation to such mandatory requirement.2.5 You shall not reproduce, distribute, publicly perform, communicate to the public, synchronize or otherwise use and exploit any third party content, including but not limited to, pictures or messages you upload to the app.']"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,2.71,['including but not limited to'],"['You are solely responsible for securing the rights or license to any third party content, including but not limited to, pictures or messages you upload and share on MvBit or other social medial platforms.2.6']"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MN,2.569,"['including but not limited to', 'can']","['You agree not to use or launch any automated system, including but not limited to, ""robots,"" ""spiders,"" or ""offline readers,"" that accesses the Service in a manner that sends more request messages to MvBit servers in a given period of time than a human can reasonably produce in the same period by using a conventional online web browser.2.9']"
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CM,1.864,"['appropriate', 'may']","[""If you select a username or similar identifier for your account, we reserve the right to remove or reclaim it if we believe it is appropriate (such as when a trademark owner complains about a username that does not closely relate to a user's actual name).2.11 MvBit may in any event terminate this Agreement by sending a termination email to the User.2.12""]"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MN,2.569,"['may', 'some']","['If users violate laws, regulations and platform rules, after receiving the report, the platform may submit some voice records and/or text message as the basis for content audit and investigation.3.']"
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MN,2.569,"['can', 'anyone']","['Without our prior written approval, you cannot transfer the account to any other third party.3.2 You will not create an account for anyone other than yourself without permission and you will not create more than one personal account.']"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may']","['And if MvBit disabled your account, you will not create another one without our permission.3.3 Although MvBit will not be liable for your losses caused by any unauthorized use of your account, you may be liable for the losses of MvBit\xa0or others due to such unauthorized use.3.4 MvBit\xa0may disable your account if MvBit\xa0reasonably believes that you use this account to carry out any illegal activities.3.5 MvBit values your privacy and agrees not to disclose or provide your registration information or any non-public content to third parties and will not use it for advertising purposes.']"
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may', 'may', 'may']","['These may be collected when you use our services, unless we obtain your prior approval or we are required to pass the applicable authority under the applicable laws or regulations.3.6 Notwithstanding the foregoing, MvBit may disclose your registered information to our affiliated companies for data analysis from commercial perspective or disclose your registered information to our partner if such partner agrees to protect the information in the way MvBit does.3.7 MvBit may use your information in the app for the rankings and may exhibit them for others to see.3.8 Privacy-relevant permissions requested by MvBit:']"
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],"[""The permission allows the user to shoot videos on MvBit.vi Read the List of Installed ApplicationsThis permission allows MvBit to read the list of installed applications in users' devices, With user's permission, the information of third-party apps can be accurately provided, allowing users to share anytime conveniently.vii CONTACTS OF PHONEsed for permissions that are associated with accessing the contacts in the user's device.""]"
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['can'],"[""This permission allows MvBit to recommend the user's friends in the contacts to himself so as that they can share videos and have fun on MvBit together.4.INTELLECTUAL PROPERTYIntellectual Property RightsWe respect intellectual property rights and ask you to do the same.""]"
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"[""Such content may not be downloaded, copied, reproduced, distributed, transmitted, broadcast, displayed, sold, licensed or otherwise exploited for any purpose whatsoever without our or, where applicable, our licensors' prior written consent.""]"
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['You acknowledge and agree that MvBit may terminate this license at any time for any reason or no reason.']
14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,3.55,['general'],['The content on our Services is provided for general information only.']
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['Such links should not be interpreted as approval by us of those linked websites or information you may obtain from them.']
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['You acknowledge that we have no obligation to pre-screen, monitor, review, or edit any content posted by you and other users on the Platform (including User Content).4.1User-Generated Content\t\t\tUsers may be permitted to upload or transmit (such as via a stream) or otherwise make available content through the Services (""User Content"").']"
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Users may also overlay music, graphics, stickers, Virtual Items (as defined and further explained in the ""Supplemental Terms â\x80\x93 Virtual Items Policy"") and other elements provided by MvBit (""MvBit\xa0Elements"") onto this User Content and transmit this User Content through the Services.']"
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['You may also choose to upload or transmit your User Content, including User Content that includes MvBit Elements, on sites or platforms hosted by third parties.']"
