,depending,necessary,appropriate,inappropriate,as needed,as applicable,otherwise reasonably,sometimes,from time to time,generally,mostly,widely,general,commonly,usually,normally,typically,largely,often,primarily,among other things,may,might,can,could,would,likely,possible,possibly,anyone,certain,everyone,numerous,some,most,few,much,many,various,including but not limited to,Category,BT Coeff,Amb_Terms,Amb_Phrase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['may', 'certain', 'can']","['(d) update the Software, (e) share any information through the Software and/or (f) contact us through our help and support channels, we may ask you for your personal data (such as your name, telephone number, address, date of birth, credit card details (if required as mode of payment) certain unique identifiers, and any other information or data that can be used to identify or contact you) (""Personal Data"").']"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MN,2.569,"['may', 'certain', 'may', 'can']","['We also may automatically receive and track certain data about your mobile device (such as your device-type, time-zone, version of the operating system or Software currently installed, and language preference) or your activity logs from the use of the Service, Software and Content, and we may create a unique device ID for you so we can recognize you.']"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,MN,2.569,"['may', 'most']",['Airtel may collect such non-identifiable information for gathering data on what parts of the Service / Software are of most interest to Users.']
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MN,2.569,"['some', 'can']","['In some cases, we can automatically detect your location data, but we will not use it unless you give us permission to do so.']"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MN,2.569,"['may', 'some']","['If you connect with any social networking site (""SNS""), we may also receive some data from that network (e.g. your SNS ID, name, profile picture, gender, age, locale and email address), which shall be deemed to be included within the meaning of your Personal Data.']"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,"['may', 'may']","['However, you agree that in that case we may not be able to provide you with our products or services or respond to any queries you may have.']"
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CM,1.864,"['may', 'from time to time', 'can', 'may']","[""Use of Personal DataWe may use your Personal Data in accordance with the corresponding Terms of Use, and more particularly for the following purposes:to identify you from time to time, as required, and to validate your use of the Services,to provide you with the Services and the display of customized content, and targeted advertising both on our apps/websites and on other apps/websites that we advertise through,to communicate with the Software and Services and for resolving customer service issues,to determine when you link from our app / Software to one of our partner apps, so that we can monitor the level of traffic that we generate for our partner apps,to ensure the technical functioning of all our products and services,to protect the Software's copyright,to enforce our Terms of Use,to comply with laws, requests from a government bodies or courts, or to respond to litigation,to enable us to use a third party to perform surveys measuring your experiences and use of our services, to conduct internal auditing, data analysis, and research to improve our products and services,to share your Personal Data with Airtel's affiliates and group companies for any of the foregoing purposes, which affiliates may also combine your Personal Data with other information in this regard.""]"
7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GM,4.045,"['may', 'general']","[""We may also encrypt and/or aggregate your data with other users' data in order to create statistics about the general use of the Software and related websites, which helps us to develop new products and services.""]"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['You understand that we may also share this aggregated data with our business partners and third party advertisers.']
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Nothing anything else in this Privacy Notice, you understand that in order to comply with the applicable laws and contractual requirements, Airtel may be required to access your location data in order to ensure that your access to the Service is within a particular geographical territory.']"
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['You sharing data with third partiesThird parties (such as companies who advertise through our apps) may require you to provide your personal data in order to access their products, advertisements and offers.']"
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MN,2.569,"['may', 'some', 'can']","['If you visit or register for a third party product, advertisement or offer, we may pass some data about your device to that third party (e.g. your tag history and country of registration) so that they can send you offers.']"
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['You understand that Airtel may post such information on your SNS profile/account.']
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],['Airtel may also publish such information any other integrated or associated services of Airtel.']
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['For the purpose of identification, authentication and ease of access, Airtel may store your username and an access token or similar credentials obtained from such SNS/third party service.']"
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"[""Airtel sharing data with third partiesAirtel may provide your Personal Data or any portion of it to Airtel's strategic partners that work with Airtel to provide products and services, or that help Airtel market its products and services to customers.""]"
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['You further acknowledge that Airtel may be required under law, legal process, litigation, and/or requests from public and governmental authorities to disclose your Personal Data.']"
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2.865,['may'],"['Further, Airtel payment processing partners /gateways may access you billing and shipping information (including your credit cards details, balance in your Airtel account, etc.)']"
